Gene X,Probe X,Gene Y,Probe Y,Correlation,Variance Rank X,Variance Rank Y,Chromosome X,Chromosome Y
FAM81B,240065_at,SPAG6,210033_s_at,0.8739296727078358,7,20,5,10
FAM81B,240065_at,CFAP126,231077_at,0.9510640494197068,7,26,5,1
FAM81B,240065_at,CAPSL,236085_at,0.9313294612597418,7,40,5,5
FAM81B,240065_at,AQP4,210067_at,0.7218414172881245,7,42,5,18
FAM81B,240065_at,CXCL5,214974_x_at,0.7916205424301783,7,43,5,4
FAM81B,240065_at,C7orf57,1557636_a_at,0.9108377174410146,7,51,5,7
FAM81B,240065_at,TCTEX1D1,1553635_s_at,0.9391321733794553,7,63,5,1
FAM81B,240065_at,LPAR3,231192_at,0.7382692553002156,7,70,5,1
FAM81B,240065_at,CD36,228766_at,0.7513396756290714,7,72,5,7
FAM81B,240065_at,RSPH1,230093_at,0.8706235781720397,7,83,5,21
FAM81B,240065_at,TNFRSF11B,204933_s_at,0.8311567054382735,7,87,5,8
FAM81B,240065_at,DAW1,242162_at,0.930162537566014,7,89,5,2
FAM81B,240065_at,AQP4,210068_s_at,0.7106500457456638,7,99,5,18
FAM81B,240065_at,FAM110C,226863_at,0.7549203867097439,7,105,5,2
FAM81B,240065_at,PPP1R1B,225165_at,0.7387530396572887,7,106,5,17
FAM81B,240065_at,RASSF9,241470_x_at,0.8893729113602831,7,108,5,12
FAM81B,240065_at,TNFRSF11B,204932_at,0.8059497956311846,7,128,5,8
FAM81B,240065_at,ARMC3,240275_at,0.949235584890234,7,136,5,10
FAM81B,240065_at,GDF10,206159_at,0.7258756801106985,7,139,5,10
FAM81B,240065_at,AKAP14,237282_s_at,0.9102610015350817,7,141,5,X
FAM81B,240065_at,AQP4,210906_x_at,0.7004143525773092,7,143,5,18
FAM81B,240065_at,CAPS,231729_s_at,0.8662598079343191,7,147,5,19
FAM81B,240065_at,DYNLRB2,238116_at,0.8907863563214792,7,153,5,16
FAM81B,240065_at,MSX1,205932_s_at,0.8632577540319194,7,164,5,4
FAM81B,240065_at,NEK5,241310_at,0.8986101170609317,7,177,5,13
FAM81B,240065_at,SPAG6,210032_s_at,0.8799965520335509,7,186,5,10
FAM81B,240065_at,C11orf70,224463_s_at,0.8568643053338868,7,189,5,11
FAM81B,240065_at,RMST,229782_at,0.745966303833738,7,190,5,12
FAM81B,240065_at,CFAP52,239916_at,0.9118051935951572,7,192,5,17
FAM81B,240065_at,AKAP14,237281_at,0.9248182940122911,7,196,5,X
FAM81B,240065_at,CAPS,231728_at,0.8461616756111492,7,199,5,19
FAM81B,240065_at,GABRG1,1552943_at,0.7143431154191073,7,214,5,4
FAM81B,240065_at,GMPR,204187_at,0.7953901694342034,7,216,5,6
FAM81B,240065_at,VWA3B,1562371_s_at,0.9463475329398114,7,232,5,2
FAM81B,240065_at,IGSF1,207695_s_at,0.760824682389359,7,245,5,X
FAM81B,240065_at,CD36,209555_s_at,0.7099611737092404,7,246,5,7
FAM81B,240065_at,LINC01088,230781_at,0.7338556937497248,7,249,5,4
FAM81B,240065_at,ANGPTL1,231773_at,0.7324059871456927,7,250,5,1
FAM81B,240065_at,IGFBP7-AS1,1557395_at,0.7859631849532185,7,251,5,4
FAM81B,240065_at,ODF3B,238327_at,0.8960045035835646,7,261,5,22
FAM81B,240065_at,MAP3K19,1555804_a_at,0.9448002394516671,7,281,5,2
FAM81B,240065_at,MECOM,221884_at,0.7495810559158972,7,289,5,3
FAM81B,240065_at,EFHC2,220591_s_at,0.9007534330762607,7,292,5,X
FAM81B,240065_at,ROR2,205578_at,0.7305460200206688,7,295,5,9
FAM81B,240065_at,C8orf34,231380_at,0.8365959306350653,7,300,5,8
FAM81B,240065_at,CCDC114,233157_x_at,0.76726491559073,7,302,5,19
FAM81B,240065_at,EFCAB1,220156_at,0.9221865607682717,7,303,5,8
FAM81B,240065_at,ZBBX,220269_at,0.8655957873889959,7,304,5,3
FAM81B,240065_at,CRLF1,206315_at,0.7577578675264484,7,308,5,19
FAM81B,240065_at,MECOM,226420_at,0.7237636064910575,7,311,5,3
FAM81B,240065_at,ECM2,206101_at,0.7818992485448096,7,320,5,9
FAM81B,240065_at,TPPP3,218876_at,0.852307912836809,7,325,5,16
FAM81B,240065_at,CD36,206488_s_at,0.7046031753306479,7,340,5,7
FAM81B,240065_at,ANXA1,201012_at,0.7196619210501419,7,347,5,9
FAM81B,240065_at,NUP62CL,220520_s_at,0.8344558808823784,7,353,5,X
FAM81B,240065_at,WDR49,1554298_a_at,0.8573753945646201,7,365,5,3
FAM81B,240065_at,CFAP43,231084_at,0.9286010956242802,7,367,5,10
FAM81B,240065_at,MORN5,229976_at,0.9250690433384482,7,370,5,9
FAM81B,240065_at,CFAP70,229170_s_at,0.8761249749787547,7,373,5,10
FAM81B,240065_at,CXCL5,215101_s_at,0.7931056056711314,7,394,5,4
FAM81B,240065_at,CFB,202357_s_at,0.7432896011702174,7,399,5,6
FAM81B,240065_at,C2orf40,223623_at,0.7358576306297152,7,402,5,2
FAM81B,240065_at,MLIP,235377_at,0.7038979264167341,7,403,5,6
FAM81B,240065_at,EPPK1,232164_s_at,0.7192750109541682,7,411,5,8
FAM81B,240065_at,LOC101928817,1556003_a_at,0.8191039802194581,7,412,5,14
FAM81B,240065_at,SPATA17,230763_at,0.895335081510545,7,432,5,1
FAM81B,240065_at,PIRT,232887_at,0.7468058023358457,7,441,5,17
FAM81B,240065_at,PIFO,228100_at,0.897990951619964,7,450,5,1
FAM81B,240065_at,HSPB8,221667_s_at,0.7463195212045125,7,457,5,12
FAM81B,240065_at,ANGPTL1,239183_at,0.703234388474234,7,481,5,1
FAM81B,240065_at,EHF,225645_at,0.8359181603609005,7,499,5,11
FAM81B,240065_at,CAPS,226424_at,0.8554636391408389,7,504,5,19
FAM81B,240065_at,IQCA1,238584_at,0.7087627575192077,7,535,5,2
FAM81B,240065_at,WDR78,229816_at,0.8658925782889513,7,537,5,1
FAM81B,240065_at,FAM216B,1556711_at,0.7545362293792536,7,539,5,13
FAM81B,240065_at,AK7,1553734_at,0.9216318725576418,7,545,5,14
FAM81B,240065_at,CASC1,220168_at,0.910749350498883,7,547,5,12
FAM81B,240065_at,,235892_at,0.723513849408737,7,549,5,
FAM81B,240065_at,LOC101928882,233326_at,0.8961047354238821,7,562,5,3
FAM81B,240065_at,DNAH9,240857_at,0.8256306255366052,7,564,5,17
FAM81B,240065_at,SPAG17,233516_s_at,0.9051020909171197,7,568,5,1
FAM81B,240065_at,NEK5,237168_at,0.9004617465823483,7,570,5,13
FAM81B,240065_at,DCDC5,232603_at,0.7186778697852887,7,572,5,11
FAM81B,240065_at,WDR63,243087_at,0.9208753972740097,7,576,5,1
FAM81B,240065_at,CELSR1,41660_at,0.7821630351869167,7,578,5,22
FAM81B,240065_at,MGST1,1565162_s_at,0.7011592049971277,7,589,5,12
FAM81B,240065_at,AQP4-AS1,1553440_at,0.7687667575679306,7,595,5,18
FAM81B,240065_at,TMEM232,239776_at,0.8680405602958803,7,603,5,5
FAM81B,240065_at,C11orf88,1568606_at,0.9298499412326275,7,606,5,11
FAM81B,240065_at,C11orf70,241198_s_at,0.8485229695451578,7,607,5,11
FAM81B,240065_at,,240026_x_at,0.9007672243783024,7,609,5,
FAM81B,240065_at,GALNT3,203397_s_at,0.7871454825687783,7,632,5,2
FAM81B,240065_at,CFAP70,229169_at,0.8788798253235425,7,633,5,10
FAM81B,240065_at,TMEM47,209655_s_at,0.7674832163822803,7,647,5,X
FAM81B,240065_at,ZMYND10,216663_s_at,0.9278388420123875,7,649,5,3
FAM81B,240065_at,C4orf47,236915_at,0.8754520443098028,7,651,5,4
FAM81B,240065_at,RNF43,218704_at,0.8145849750850095,7,659,5,17
FAM81B,240065_at,C5orf49,239722_at,0.9235293076359303,7,671,5,5
FAM81B,240065_at,SPAG1,210117_at,0.8256279155432071,7,672,5,8
FAM81B,240065_at,GLIS3,230258_at,0.7226011378024404,7,693,5,9
FAM81B,240065_at,,222325_at,0.701310699857103,7,716,5,
FAM81B,240065_at,EPPK1,232165_at,0.7088625609483974,7,723,5,8
FAM81B,240065_at,SLC27A6,219932_at,0.7475905073353198,7,724,5,5
FAM81B,240065_at,IL20RA,219115_s_at,0.7390697666748504,7,729,5,6
FAM81B,240065_at,LRRC34,236918_s_at,0.7700810526729924,7,734,5,3
FAM81B,240065_at,ROPN1L,223609_at,0.8496788752495937,7,751,5,5
FAM81B,240065_at,FMO1,205666_at,0.7902323684351462,7,767,5,1
FAM81B,240065_at,TTC29,223962_at,0.8985257727864496,7,776,5,4
FAM81B,240065_at,,236373_at,0.7481573064125836,7,778,5,
FAM81B,240065_at,C1orf158,231549_at,0.9272709482451325,7,813,5,1
FAM81B,240065_at,TEX9,243198_at,0.7724144575915228,7,820,5,15
FAM81B,240065_at,MKX,241902_at,0.7100873598026469,7,821,5,10
FAM81B,240065_at,TEKT1,239216_at,0.9166582251203401,7,822,5,17
FAM81B,240065_at,ANGPTL1,224339_s_at,0.7421252427417028,7,833,5,1
FAM81B,240065_at,LINC01354,239822_at,0.7278901971388154,7,835,5,1
FAM81B,240065_at,FAM179A,236717_at,0.8041324953186001,7,852,5,2
FAM81B,240065_at,,235658_at,0.8362705842551111,7,894,5,
FAM81B,240065_at,LRRC46,230601_s_at,0.8753649879637917,7,902,5,17
FAM81B,240065_at,C1orf194,231044_at,0.9159575153201381,7,903,5,1
FAM81B,240065_at,TEX26,243884_at,0.87424600313299,7,905,5,13
FAM81B,240065_at,CFAP45,220308_at,0.9245104887208159,7,914,5,1
FAM81B,240065_at,RSPH4A,233071_at,0.9105372943333926,7,951,5,6
FAM81B,240065_at,FOLR1,204437_s_at,0.8504659226015967,7,993,5,11
DDX3Y,205000_at,RPS4Y1,201909_at,0.9751783625089245,8,34,Y,Y
DDX3Y,205000_at,EIF1AY,204409_s_at,0.9506517020962416,8,47,Y,Y
DDX3Y,205000_at,USP9Y,228492_at,0.9646762326179926,8,217,Y,Y
DDX3Y,205000_at,USP9Y,206624_at,0.9537020029979876,8,428,Y,Y
DDX3Y,205000_at,KDM5D,206700_s_at,0.9415309904596134,8,619,Y,Y
DDX3Y,205000_at,DDX3Y,205001_s_at,0.9163444050770886,8,657,Y,Y
DDX3Y,205000_at,TTTY15,214983_at,0.9395951735270637,8,868,Y,Y
DDX3Y,205000_at,EIF1AY,204410_at,0.8945298292701513,8,887,Y,Y
LHX2,206140_at,LHX2,211219_s_at,0.9576191674817147,9,409,9,9
CHI3L1,209395_at,CHI3L1,209396_s_at,0.9913793200089607,10,15,1,1
CHI3L1,209395_at,CHI3L2,213060_s_at,0.7412046068838348,10,212,1,1
CHI3L1,209395_at,SERPINA3,202376_at,0.7826613651820423,10,448,1,14
CHI3L1,209395_at,SOCS3,227697_at,0.7110284582240981,10,653,1,17
CHI3L1,209395_at,GBP2,242907_at,0.7081508581836865,10,689,1,1
XIST,224590_at,XIST,221728_x_at,0.9767977910897341,11,14,X,X
XIST,224590_at,XIST,214218_s_at,0.9879355342874384,11,21,X,X
XIST,224590_at,XIST,227671_at,0.9743517047258105,11,32,X,X
XIST,224590_at,XIST,224589_at,0.9582476311664044,11,208,X,X
,AFFX-HUMRGE/M10098_M_at,,AFFX-M27830_5_at,0.9160029297291296,12,35,,
,AFFX-HUMRGE/M10098_M_at,,AFFX-HUMRGE/M10098_3_at,0.9529154851317012,12,113,,
,AFFX-HUMRGE/M10098_M_at,NASP,242918_at,0.7184106051159992,12,990,,1
GABRG2,1568612_at,STMN2,203000_at,0.7840749541464868,13,16,5,8
GABRG2,1568612_at,MYT1L,210016_at,0.8910252920647997,13,27,5,2
GABRG2,1568612_at,TAC1,206552_s_at,0.8089794767642916,13,33,5,7
GABRG2,1568612_at,GABRB2,242344_at,0.8009991843126248,13,36,5,5
GABRG2,1568612_at,BHLHE22,228636_at,0.7331386580223634,13,62,5,8
GABRG2,1568612_at,MAP4,235066_at,0.8696388260322452,13,75,5,3
GABRG2,1568612_at,PEX5L,241833_at,0.7514329227569337,13,86,5,3
GABRG2,1568612_at,SLC17A6,220551_at,0.7337044943694085,13,92,5,11
GABRG2,1568612_at,VSTM2A,236308_at,0.7179604832206679,13,93,5,7
GABRG2,1568612_at,SYNPR,230303_at,0.7450203487313044,13,111,5,3
GABRG2,1568612_at,SV2B,205551_at,0.8705430510062817,13,112,5,15
GABRG2,1568612_at,ELAVL2,228260_at,0.7374180200227777,13,120,5,9
GABRG2,1568612_at,INA,204465_s_at,0.7984556603463149,13,123,5,10
GABRG2,1568612_at,SYT4,223529_at,0.8265213835108267,13,129,5,18
GABRG2,1568612_at,UNC13C,1556096_s_at,0.8446051247498814,13,134,5,15
GABRG2,1568612_at,CHGB,204260_at,0.767522486239054,13,135,5,20
GABRG2,1568612_at,SH3GL2,205751_at,0.7262813689229661,13,137,5,9
GABRG2,1568612_at,SNAP25,202508_s_at,0.7512704304872477,13,166,5,20
GABRG2,1568612_at,GABRA1,244118_at,0.8999688957636643,13,174,5,5
GABRG2,1568612_at,JPH3,229294_at,0.7576331064215616,13,175,5,16
GABRG2,1568612_at,CPEB3,239765_at,0.8992998174953437,13,182,5,10
GABRG2,1568612_at,RBFOX3,235468_at,0.7750399012536634,13,185,5,17
GABRG2,1568612_at,NWD2,230765_at,0.726397395826534,13,209,5,4
GABRG2,1568612_at,SYT13,226086_at,0.8107696272113794,13,213,5,11
GABRG2,1568612_at,VSTM2A,230117_at,0.714256955600481,13,222,5,7
GABRG2,1568612_at,GABRB3,227690_at,0.709512723458379,13,231,5,15
GABRG2,1568612_at,SYT1,203999_at,0.7103000359089606,13,238,5,12
GABRG2,1568612_at,SLC12A5,210040_at,0.7761816088423286,13,256,5,20
GABRG2,1568612_at,CDH18,206280_at,0.7766094378062018,13,268,5,5
GABRG2,1568612_at,CELF4,238966_at,0.9159517327676465,13,270,5,18
GABRG2,1568612_at,RAB3C,229300_at,0.8205979512603309,13,274,5,5
GABRG2,1568612_at,SPOCK3,235342_at,0.7058953878420122,13,284,5,4
GABRG2,1568612_at,CPLX1,223500_at,0.7550891371304551,13,315,5,4
GABRG2,1568612_at,UBE2QL1,226612_at,0.7202127395914842,13,319,5,5
GABRG2,1568612_at,RFPL1S,214120_at,0.7964950026924119,13,337,5,22
GABRG2,1568612_at,RBFOX1,221217_s_at,0.7629399663155513,13,354,5,16
GABRG2,1568612_at,GABRB2,1557122_s_at,0.7907147957370615,13,357,5,5
GABRG2,1568612_at,RALYL,213967_at,0.7142531957036296,13,363,5,8
GABRG2,1568612_at,KCNJ6,232411_at,0.7730332754702159,13,368,5,21
GABRG2,1568612_at,RIMS2,229823_at,0.7084689563408635,13,377,5,8
GABRG2,1568612_at,SCN3B,204723_at,0.7949026554659298,13,386,5,11
GABRG2,1568612_at,RGS7,206290_s_at,0.778409356293856,13,392,5,1
GABRG2,1568612_at,OLFM3,1554526_at,0.8240417379504712,13,397,5,1
GABRG2,1568612_at,RPH3A,205230_at,0.7320584260477512,13,436,5,12
GABRG2,1568612_at,RBFOX3,229406_at,0.7536039389172644,13,444,5,17
GABRG2,1568612_at,CELF4,223654_s_at,0.909154288242887,13,445,5,18
GABRG2,1568612_at,CELF5,230497_at,0.702783971799618,13,453,5,19
GABRG2,1568612_at,SCN3B,204722_at,0.8035073665964223,13,456,5,11
GABRG2,1568612_at,OLFM3,1554524_a_at,0.8294108719209383,13,460,5,1
GABRG2,1568612_at,PTPRR,206084_at,0.8445263572394949,13,493,5,12
GABRG2,1568612_at,UNC13C,1556095_at,0.8173815204275232,13,494,5,15
GABRG2,1568612_at,LOC101927137,214432_at,0.7151574375034753,13,496,5,10
GABRG2,1568612_at,DNAJC6,204720_s_at,0.709226949054176,13,509,5,1
GABRG2,1568612_at,PACSIN1,227053_at,0.8317903225200659,13,522,5,6
GABRG2,1568612_at,PTPRR,210675_s_at,0.812153161099134,13,530,5,12
GABRG2,1568612_at,TMEM130,238426_at,0.7033951937824335,13,541,5,7
GABRG2,1568612_at,ACTL6B,206013_s_at,0.7717302551786124,13,551,5,7
GABRG2,1568612_at,CDK5R1,204995_at,0.7611959192672886,13,567,5,17
GABRG2,1568612_at,LRRC7,233499_at,0.7431402677828639,13,615,5,1
GABRG2,1568612_at,CAMK4,229029_at,0.7944097111819716,13,616,5,5
GABRG2,1568612_at,CELF4,231220_at,0.8950764225503652,13,617,5,18
GABRG2,1568612_at,LRRC7,239767_at,0.7590817533884062,13,618,5,1
GABRG2,1568612_at,MIR124-2HG,242193_at,0.7580359315587876,13,620,5,8
GABRG2,1568612_at,GABRA1,206678_at,0.8050180293822352,13,664,5,5
GABRG2,1568612_at,RIMS1,231986_at,0.7227619330475636,13,668,5,6
GABRG2,1568612_at,RUNDC3A,206196_s_at,0.8339939345045554,13,678,5,17
GABRG2,1568612_at,CACNA1B,235781_at,0.7766940485078803,13,682,5,9
GABRG2,1568612_at,RBFOX1,1553422_s_at,0.7521604709335367,13,702,5,16
GABRG2,1568612_at,ST8SIA3,230262_at,0.7297832418035212,13,712,5,18
GABRG2,1568612_at,ADCY1,213245_at,0.784641831290237,13,762,5,7
GABRG2,1568612_at,UBE2QL1,226618_at,0.7141077466563742,13,770,5,5
GABRG2,1568612_at,,236714_at,0.7813013829083006,13,790,5,
GABRG2,1568612_at,ARHGEF7,242999_at,0.8701121778185344,13,814,5,13
GABRG2,1568612_at,PCLO,213558_at,0.7459246169857001,13,815,5,7
GABRG2,1568612_at,SYN2,229039_at,0.7723219405165483,13,830,5,3
GABRG2,1568612_at,GABRG2,206849_at,0.8792553628446873,13,843,5,5
GABRG2,1568612_at,KRT222,243998_at,0.7813806093451432,13,849,5,17
GABRG2,1568612_at,AAK1,214956_at,0.880977448618536,13,875,5,2
GABRG2,1568612_at,SVOP,229818_at,0.9049913135820572,13,881,5,12
GABRG2,1568612_at,SH3GL3,205637_s_at,0.7201949159557807,13,889,5,15
GABRG2,1568612_at,C1QTNF4,223708_at,0.7791142127885857,13,916,5,11
GABRG2,1568612_at,SNAP25,202507_s_at,0.8011629959517353,13,930,5,20
GABRG2,1568612_at,RBFOX1,235070_at,0.7713997506801487,13,946,5,16
XIST,221728_x_at,XIST,214218_s_at,0.9805305759708987,14,21,X,X
XIST,221728_x_at,XIST,227671_at,0.9777266988655439,14,32,X,X
XIST,221728_x_at,XIST,224589_at,0.9179025062510785,14,208,X,X
CHI3L1,209396_s_at,CHI3L2,213060_s_at,0.7459484731263343,15,212,1,1
CHI3L1,209396_s_at,SERPINA3,202376_at,0.7957455653195087,15,448,1,14
CHI3L1,209396_s_at,SOCS3,227697_at,0.7051840083607529,15,653,1,17
CHI3L1,209396_s_at,GBP2,242907_at,0.7103068386049738,15,689,1,1
STMN2,203000_at,MYT1L,210016_at,0.8565060091565052,16,27,8,2
STMN2,203000_at,ST18,206135_at,0.7481021317288198,16,29,8,8
STMN2,203000_at,NEUROD1,206282_at,0.7395352787333582,16,55,8,2
STMN2,203000_at,BHLHE22,228636_at,0.7559453048548904,16,62,8,8
STMN2,203000_at,MAP4,235066_at,0.8592060248967128,16,75,8,3
STMN2,203000_at,SLC17A6,220551_at,0.728754056978854,16,92,8,11
STMN2,203000_at,SV2B,205551_at,0.7814564766622276,16,112,8,15
STMN2,203000_at,NEUROD1,1556057_s_at,0.7455383955127018,16,116,8,2
STMN2,203000_at,ELAVL2,228260_at,0.8083380691357863,16,120,8,9
STMN2,203000_at,INA,204465_s_at,0.854696800092194,16,123,8,10
STMN2,203000_at,ELAVL4,238073_at,0.7614733687357895,16,126,8,1
STMN2,203000_at,SYT4,223529_at,0.8141531596994563,16,129,8,18
STMN2,203000_at,UNC13C,1556096_s_at,0.7461929094117011,16,134,8,15
STMN2,203000_at,CHGB,204260_at,0.7936097134677804,16,135,8,20
STMN2,203000_at,SH3GL2,205751_at,0.7596309346225364,16,137,8,9
STMN2,203000_at,SNAP25,202508_s_at,0.7401589075442746,16,166,8,20
STMN2,203000_at,CPEB3,239765_at,0.7652788652136194,16,182,8,10
STMN2,203000_at,SYT13,226086_at,0.713892799135693,16,213,8,11
STMN2,203000_at,GABRB3,227690_at,0.741487822154413,16,231,8,15
STMN2,203000_at,CELF4,238966_at,0.8364046860259327,16,270,8,18
STMN2,203000_at,RAB3C,229300_at,0.7617202923400185,16,274,8,5
STMN2,203000_at,HMP19,218623_at,0.7146593732563767,16,307,8,5
STMN2,203000_at,CPLX1,223500_at,0.7438499009167181,16,315,8,4
STMN2,203000_at,UBE2QL1,226612_at,0.7021121855218093,16,319,8,5
STMN2,203000_at,RFPL1S,214120_at,0.7188910972056664,16,337,8,22
STMN2,203000_at,ELAVL4,206051_at,0.7872118327195122,16,361,8,1
STMN2,203000_at,KCNJ6,232411_at,0.7393382566034238,16,368,8,21
STMN2,203000_at,SCN3B,204723_at,0.7656501206955844,16,386,8,11
STMN2,203000_at,RGS7,206290_s_at,0.7034697549704908,16,392,8,1
STMN2,203000_at,RBFOX3,229406_at,0.7031661029514497,16,444,8,17
